location_name__c,Name,point__Longitude__s,point__Latitude__s
東京都/あきる野市/野辺/２７３番地,スリーエフ秋川野辺店,139.31149,35.72257
東京都/稲城市/向陽台/六丁目/８番,ファミリーマート稲城向陽台店,139.49025,35.64125
東京都/稲城市/坂浜/３２８０番地,セブンイレブン稲城坂浜店,139.49236,35.6324
東京都/稲城市/若葉台/一丁目/２３番,ファミリーマート若葉台一丁目店,139.47055,35.62739
東京都/稲城市/若葉台/二丁目/４番,ファミリーマート若葉台店,139.47092,35.62036
東京都/稲城市/大丸/１４０番地,ローソン稲城大丸店,139.49843,35.64552
東京都/稲城市/大丸/３１３番地,スリーエフ稲城大丸店,139.49803,35.64901
東京都/稲城市/大丸/９１７番地,サンクス稲城大丸店,139.49104,35.64766
東京都/稲城市/長峰/二丁目/１番,ファミリーマート稲城長峰店,139.48463,35.63174
東京都/稲城市/東長沼/１１８１番地,セブンイレブン稲城長沼店,139.50371,35.64308
東京都/稲城市/東長沼/２０４番地,エーエムピーエム稲城長沼店,139.50502,35.64668
東京都/稲城市/東長沼/２１０９番地,ファミリーマート加藤稲城店,139.50092,35.63882
東京都/稲城市/東長沼/３１０７番地,スリーエフ稲城駅北口店,139.50098,35.63662
東京都/稲城市/東長沼/４５０番地,ミニストップ稲城長沼店,139.502,35.64667
東京都/稲城市/東長沼/５９２番地,コミュニティ・ストア稲城ざるや店,139.50673,35.64549
東京都/稲城市/百村/１６１３番地,ファミリーマート京王稲城駅前店,139.49969,35.63588
東京都/稲城市/百村/２１１５番地,セブンイレブン稲城百村店,139.49007,35.63596
東京都/稲城市/平尾/一丁目/３４番,ファミリーマート稲城平尾店,139.48965,35.61201
東京都/稲城市/平尾/二丁目/８番,セブンイレブン稲城市平尾店,139.49608,35.60954
東京都/稲城市/矢野口/１２６９番地,セブンイレブン矢野口中央店,139.51634,35.63886
東京都/稲城市/矢野口/１２９９番地,ファミリーマート稲城矢野口店,139.51105,35.63804
東京都/稲城市/矢野口/２１５番地,ローソン稲城矢野口店,139.51947,35.64141
東京都/稲城市/矢野口/２２８１番地,セブンイレブン京王読売ランド前店,139.51476,35.63404
東京都/羽村市/羽加美/一丁目/４０番,セブンイレブン羽村羽加美1丁目店,139.30592,35.76818
東京都/羽村市/羽西/二丁目/２番,セブンイレブン羽村羽西2丁目店,139.29628,35.77198
東京都/羽村市/栄町/二丁目/２１番,ファミリーマート羽村栄町店,139.31075,35.76925
東京都/羽村市/栄町/二丁目/２３番,ブルマートさの,139.30882,35.76891
東京都/羽村市/栄町/二丁目/３番,ミニストップ羽村栄町店,139.3082,35.77273
東京都/羽村市/五ノ神/一丁目/１４番,セブンイレブン羽村五ノ神1丁目店,139.31941,35.75843
東京都/羽村市/五ノ神/四丁目/１１番,サンクス羽村駅東口店,139.3179,35.76062
東京都/羽村市/五ノ神/四丁目/１５番,ファミリーマート羽村駅東口店,139.31567,35.7593
東京都/羽村市/小作台/一丁目/１３番,セブンイレブン小作駅東口店,139.30287,35.77694
東京都/羽村市/小作台/一丁目/３番,タイムズマート小作店,139.30202,35.77749
東京都/羽村市/小作台/一丁目/２２番,ファミリーマート羽村小作台店,139.30299,35.77797
東京都/羽村市/小作台/二丁目/１８番,セブンイレブン羽村小作台2丁目店,139.30035,35.77977
東京都/羽村市/小作台/五丁目/２９番,ローソン羽村小作台店,139.30273,35.77195
東京都/羽村市/小作台/五丁目/３５番,ローソン羽村小作駅東口店,139.3027,35.77562
東京都/羽村市/小作台/五丁目/９番,セブンイレブン小作駅西口店,139.30157,35.77539
東京都/羽村市/神明台/一丁目/３番,ミニストップ羽村神明台店,139.319,35.75669
東京都/羽村市/神明台/二丁目/１０番,セブンイレブン羽村神明台2丁目店,139.32819,35.75414
東京都/羽村市/神明台/三丁目/６番,セブンイレブン羽村神明台3丁目店,139.32796,35.76274
東京都/羽村市/神明台/一丁目/２７番,サークルＫ羽村市役所通店,139.32129,35.75484
東京都/羽村市/神明台/四丁目/１番,サークルＫ羽村神明台店,139.32759,35.75848
東京都/羽村市/川崎/一丁目/８番,セブンイレブン羽村川崎1丁目店,139.31718,35.75383
東京都/羽村市/川崎/二丁目/７番,ファミリーマート羽村川崎店,139.31827,35.7521
東京都/羽村市/双葉町/二丁目/４番,Ｙショップ榎本,139.33234,35.75885
東京都/羽村市/双葉町/三丁目/９番,サンクス羽村双葉町店,139.33572,35.75801
東京都/羽村市/富士見平/二丁目/２１番,ファミリーマート羽村富士見平店,139.32664,35.76294
東京都/羽村市/緑ヶ丘/一丁目/５番,スリーエイト羽村店,139.31367,35.7639
東京都/葛飾区/お花茶屋/一丁目/１９番,サンクスお花茶屋店,139.84023,35.748
東京都/葛飾区/お花茶屋/二丁目/４番,セブンイレブン葛飾お花茶屋店,139.83977,35.75111
東京都/葛飾区/お花茶屋/二丁目/５番,（有）伊藤酒店,139.83934,35.7508
東京都/葛飾区/お花茶屋/二丁目/５番,マインマートお花茶屋店,139.83934,35.7508
東京都/葛飾区/お花茶屋/二丁目/３番,サンクスお花茶屋2丁目店,139.83928,35.75256
東京都/葛飾区/奥戸/一丁目/２８番,デイリーヤマザキ奥戸本町店,139.85898,35.73103
東京都/葛飾区/奥戸/二丁目/１４番,よろづや酒店,139.85654,35.73632
東京都/葛飾区/奥戸/二丁目/１４番,サンクス葛飾奥戸店,139.85654,35.73632
東京都/葛飾区/奥戸/三丁目/８番,セブンイレブン葛飾奥戸3丁目店,139.86113,35.73324
東京都/葛飾区/奥戸/四丁目/２３番,ローソン奥戸四丁目店,139.86838,35.72857
東京都/葛飾区/奥戸/五丁目/１番,ファミリーマート奥戸五丁目店,139.86417,35.73105
東京都/葛飾区/奥戸/五丁目/３番,セブンイレブン葛飾奥戸5丁目店,139.86473,35.73225
東京都/葛飾区/鎌倉/一丁目/２３番,サンクス葛飾鎌倉店,139.87857,35.74282
東京都/葛飾区/鎌倉/三丁目/２８番,ローソン新柴又店,139.87843,35.74987
東京都/葛飾区/亀有/一丁目/１４番,セブンイレブン亀有曳船橋店,139.84465,35.75689
東京都/葛飾区/亀有/二丁目/３４番,セブンイレブン葛飾亀有2丁目店,139.8485,35.76073
東京都/葛飾区/亀有/二丁目/２６番,（有）田中米作商店,139.85088,35.76017
東京都/葛飾区/亀有/三丁目/２７番,セブンイレブン葛飾亀有3丁目店,139.84966,35.76554
東京都/葛飾区/亀有/三丁目/４３番,ファミリーマート亀有駅東店,139.85048,35.76671
東京都/葛飾区/亀有/三丁目/９番,ファミリーマート亀有三丁目店,139.84744,35.76515
東京都/葛飾区/亀有/四丁目/２７番,セブンイレブン亀有4丁目都営アパ－ト前店,139.84204,35.76278
東京都/葛飾区/亀有/四丁目/３７番,セブンイレブン亀有4丁目店,139.84596,35.7636
東京都/葛飾区/亀有/四丁目/４番,ファミリーマート亀有四丁目店,139.84506,35.76016
東京都/葛飾区/亀有/五丁目/１２番,ファミリーマート亀有五丁目店,139.84491,35.76865
東京都/葛飾区/亀有/五丁目/４５番,サンクス亀有北口店,139.84923,35.76749
東京都/葛飾区/金町/三丁目/２１番,セブンイレブン金町店,139.87408,35.76726
東京都/葛飾区/金町/五丁目/２９番,ファミリーマート吉川金町店,139.86876,35.76652
東京都/葛飾区/金町/五丁目/３７番,エーエムピーエム京成金町駅店,139.87015,35.76859
東京都/葛飾区/金町/六丁目/４番,ファミリーマート金町駅前店,139.86902,35.76918
東京都/葛飾区/金町/六丁目/４番,サンクス金町南口店,139.86902,35.76918
東京都/葛飾区/高砂/二丁目/１８番,セブンイレブン葛飾高砂2丁目店,139.86493,35.74957
東京都/葛飾区/高砂/三丁目/１２番,ミニストップ高砂３丁目店,139.86855,35.7505
東京都/葛飾区/高砂/三丁目/２番,ファリコあきたや,139.86729,35.74778
東京都/葛飾区/高砂/四丁目/２番,ローソン高砂四丁目店,139.87379,35.74707
東京都/葛飾区/高砂/五丁目/２８番,エーエムピーエム京成高砂駅店,139.86655,35.75093
東京都/葛飾区/高砂/五丁目/４２番,セブンイレブン葛飾高砂駅前店,139.86839,35.75154
東京都/葛飾区/高砂/五丁目/３７番,ファミリーマート高砂五丁目店,139.86836,35.75197
東京都/葛飾区/高砂/七丁目/２０番,セブンイレブン葛飾高砂7丁目店,139.86574,35.75526
東京都/葛飾区/細田/一丁目/１６番,サンクス葛飾細田店,139.87122,35.73997
東京都/葛飾区/細田/四丁目/１５番,セブンイレブン高砂店,139.8707,35.74432
東京都/葛飾区/四つ木/一丁目/２８番,セブンイレブン葛飾四つ木1丁目店,139.83461,35.73422
